type,product_internal_id,product_attribute_{afternoon_half_day_deposit_stripe_id},product_attribute_{afternoon_half_day_now_stripe_id},product_attribute_{afternoon_half_day_install_stripe_id},product_attribute_{full_day_deposit_stripe_id},product_attribute_{full_day_install_stripe_id},product_attribute_{full_day_now_stripe_id},product_attribute_{morning_half_day_deposit_stripe_id},product_attribute_{morning_half_day_install_stripe_id},product_attribute_{morning_half_day_now_stripe_id}
product,680857979,,price_1PkBMMJwWazCoBaG7uOEbCLc,,,,price_1PkBMMJwWazCoBaGhl2Azjtg,,,price_1PkBMMJwWazCoBaGkxTmBZV8
product,680795347,,price_1PkBMOJwWazCoBaGyNg4OGRv,,,,price_1PkBMOJwWazCoBaGJtvFArEm,,,price_1PkBMOJwWazCoBaG0zA5hiS2
product,680909976,price_1PkBMQJwWazCoBaGLbSYPhzF,price_1PkBMQJwWazCoBaGBwZ6LqaB,price_1PkBMQJwWazCoBaG9HlJvQKO,price_1PkBMRJwWazCoBaGMkIjOoSx,price_1PkBMRJwWazCoBaG6F2qM22w,price_1PkBMRJwWazCoBaGDT87itQH,price_1PkBMPJwWazCoBaGzEmHXNk2,price_1PkBMQJwWazCoBaGks8Dq08p,price_1PkBMQJwWazCoBaG76TBI8H8
product,679989650,,price_1PkBMTJwWazCoBaGtPhtSGla,,,,price_1PkBMTJwWazCoBaGqjGaavOq,,,price_1PkBMSJwWazCoBaGzaN3D5ad
product,680539830,,price_1PkBMUJwWazCoBaGvPrUImpz,,,,price_1PkBMVJwWazCoBaGAwOCZPmz,,,price_1PkBMUJwWazCoBaGrYAR0h56
product,680150487,,price_1PkBMWJwWazCoBaG9cNsqSar,,,,,,,
product,680899915,,price_1PkBMXJwWazCoBaG4aFbScCG,,,,price_1PkBMXJwWazCoBaG00QctMwr,,,price_1PkBMXJwWazCoBaGgQW2oQkU
product,680910222,price_1PkBMZJwWazCoBaGI2pihHRs,price_1PkBMaJwWazCoBaGEsQ2MeIu,price_1PkBMaJwWazCoBaGbCp9Dqlz,price_1PkBMaJwWazCoBaGoC94yoOS,price_1PkBMaJwWazCoBaGLOAWVWCj,price_1PkBMbJwWazCoBaGHmneAj25,price_1PkBMZJwWazCoBaGXE9TIJTs,price_1PkBMZJwWazCoBaG8bwr4TVX,price_1PkBMZJwWazCoBaGSJ6fnRkA
product,680150740,,price_1PkBMcJwWazCoBaGwXNZnXiK,,,,,,,
product,680633584,,price_1PkBMdJwWazCoBaGIOJnzoYP,,,,price_1PkBMeJwWazCoBaGtY7wT5uF,,,price_1PkBMdJwWazCoBaGydUSlrpp
product,680904446,price_1PkBMgJwWazCoBaGX9BUeOyD,price_1PkBMgJwWazCoBaGrKs0osEw,price_1PkBMgJwWazCoBaGqmPzxSBh,price_1PkBMgJwWazCoBaGOLuuCygR,price_1PkBMhJwWazCoBaGFTxauXii,price_1PkBMhJwWazCoBaGXXhklCba,price_1PkBMfJwWazCoBaGRm6PvePW,price_1PkBMfJwWazCoBaGGbvXOTQX,price_1PkBMgJwWazCoBaGQz6pEtKI
product,680910219,price_1PkBMjJwWazCoBaGrIRZ1V9O,price_1PkBMjJwWazCoBaG75Piww9M,price_1PkBMjJwWazCoBaGSTBOyQHF,price_1PkBMkJwWazCoBaGFKGlBy2m,price_1PkBMkJwWazCoBaGa7Vjbx8C,price_1PkBMkJwWazCoBaGriuekk75,price_1PkBMiJwWazCoBaGwlUaTd31,price_1PkBMiJwWazCoBaG8zaDEWcQ,price_1PkBMjJwWazCoBaG1wA00Xzq
product,680909977,price_1PkBMmJwWazCoBaGufKzsiXU,price_1PkBMmJwWazCoBaGMQhUXxnx,price_1PkBMmJwWazCoBaGEbu4H2IM,price_1PkBMnJwWazCoBaGdPf8yxVt,price_1PkBMnJwWazCoBaGDXJttne4,price_1PkBMnJwWazCoBaGjLDBnj5q,price_1PkBMlJwWazCoBaGZSarxa2L,price_1PkBMlJwWazCoBaGKELQCuE7,price_1PkBMmJwWazCoBaGrZ6kcn2J
product,680910220,price_1PkBMpJwWazCoBaGGlD0MNg2,price_1PkBMpJwWazCoBaGMiwXfonK,price_1PkBMpJwWazCoBaGI7UuYUYA,price_1PkBMqJwWazCoBaGyDoyp9S4,price_1PkBMqJwWazCoBaGrnReTRUf,price_1PkBMqJwWazCoBaGggvUm9ka,price_1PkBMoJwWazCoBaGRMEWhrQl,price_1PkBMoJwWazCoBaGiSEr2iI9,price_1PkBMpJwWazCoBaG6o4DRnaE
